,pib_per_capita
677,10081.1918636281
678,38727.5698123169
680,4011.09643554688
682,3675.24880496015
683,1173.4889012962
684,8588.05484038344
685,11856.4065101712
686,11187.4769618308
687,2694.27101451464
688,4371.39747622779
689,6395.22634785465
690,1319.17875363877
691,19599.9414329873
692,1054.09927594547
693,7765.25450565449
694,7100.32463176472
695,4092.74969623398
697,573.700145374594
698,3003.59733610063
699,9688.8874099592
700,921.533325689595
701,13595.3986793219
702,37310.2714361231
703,5545.73579215256
705,843.282455653748
706,2778.61517987211
707,2908.78347390098
708,34447.2053180645
709,37980.3539761745
710,1424.27222768511
712,23306.2795376277
713,26205.3021511837
714,42644.2906801496
715,12308.175451186
716,3096.72389789956
717,8587.34215304617
718,5419.39799017994
719,3655.10648559986
720,11074.8756665245
721,2064.39554934258
722,11804.2662616751
723,2203.81279282518
724,25465.6735672848
726,20356.647299736
727,6585.00775222779
728,2178.70107905536
729,4042.46213629625
730,28869.0731112775
